x,y,z
-41.8244,236.964,189.976
-41.6908,237.002,189.975
-41.5572,237.041,189.975
-41.4235,237.08,189.975
-41.2898,237.119,189.975
-41.1561,237.158,189.974
-41.0224,237.196,189.974
-40.8887,237.235,189.974
-40.7549,237.274,189.973
-40.6211,237.313,189.973
-40.4873,237.352,189.973
-40.3535,237.391,189.972
-40.2196,237.43,189.972
-40.0858,237.469,189.972
-39.9519,237.508,189.971
-39.818,237.547,189.971
-39.684,237.586,189.971
-39.5501,237.625,189.97
-39.4161,237.664,189.97
-39.2821,237.703,189.97
-39.1481,237.742,189.969
-39.014,237.781,189.969
-38.88,237.82,189.969
-38.7459,237.86,189.968
-38.6117,237.899,189.968
-38.4776,237.938,189.967
-38.3434,237.977,189.967
-38.2093,238.017,189.967
-38.075,238.056,189.966
-37.9408,238.095,189.966
-37.8065,238.135,189.966
-37.6723,238.174,189.965
-37.538,238.213,189.965
-37.4036,238.253,189.965
-37.2693,238.292,189.964
-37.1349,238.332,189.964
-37.0006,238.371,189.964
-36.8662,238.411,189.963
-36.7317,238.451,189.963
-36.5973,238.49,189.963
-36.4629,238.53,189.962
-36.3284,238.57,189.962
-36.1939,238.61,189.962
-36.0594,238.649,189.961
-35.9249,238.689,189.961
-35.7903,238.729,189.961
-35.6558,238.769,189.96
-35.5212,238.809,189.96
-35.3866,238.849,189.96
-35.252,238.889,189.959
-35.1174,238.93,189.959
-34.9828,238.97,189.959
-34.8481,239.01,189.958
-34.7135,239.05,189.958
-34.5788,239.091,189.957
-34.4441,239.131,189.957
-34.3095,239.172,189.957
-34.1748,239.212,189.956
-34.0401,239.253,189.956
-33.9053,239.293,189.956
-33.7706,239.334,189.955
-33.6359,239.375,189.955
-33.5011,239.415,189.954
-33.3663,239.456,189.954
-33.2316,239.497,189.954
-33.0968,239.538,189.953
-32.962,239.579,189.953
-32.8272,239.62,189.952
-32.6924,239.662,189.952
-32.5576,239.703,189.952
-32.4228,239.744,189.951
-32.288,239.785,189.951
-32.1531,239.827,189.95
-32.0183,239.868,189.95
-31.8834,239.91,189.95
-31.7486,239.951,189.949
-31.6137,239.993,189.949
-31.4788,240.035,189.948
-31.344,240.077,189.948
-31.2091,240.119,189.948
-31.0742,240.161,189.947
-30.9393,240.203,189.947
-30.8044,240.245,189.946
-30.6695,240.287,189.946
-30.5346,240.329,189.946
-30.3997,240.371,189.945
-30.2648,240.414,189.945
-30.1299,240.456,189.944
-29.9949,240.499,189.944
-29.86,240.541,189.943
-29.7251,240.584,189.943
-29.5901,240.627,189.943
-29.4552,240.67,189.942
-29.3203,240.713,189.942
-29.1853,240.755,189.941
-29.0503,240.798,189.941
-28.9154,240.842,189.941
-28.7804,240.885,189.94
-28.6454,240.928,189.94
-28.5105,240.971,189.939
-28.3755,241.015,189.939
-28.2405,241.058,189.938
-28.1055,241.101,189.938
-27.9705,241.145,189.938
-27.8355,241.189,189.937
-27.7005,241.232,189.937
-27.5655,241.276,189.936
-27.4305,241.32,189.936
-27.2955,241.364,189.935
-27.1604,241.408,189.935
-27.0254,241.452,189.934
-26.8904,241.496,189.934
-26.7554,241.54,189.934
-26.6203,241.585,189.933
-26.4853,241.629,189.933
-26.3503,241.674,189.932
-26.2152,241.718,189.932
-26.0802,241.763,189.931
-25.9451,241.807,189.931
-25.8101,241.852,189.93
-25.675,241.897,189.93
-25.54,241.942,189.929
-25.4049,241.987,189.929
-25.2699,242.032,189.929
-25.1348,242.077,189.928
-24.9997,242.122,189.928
-24.8647,242.167,189.927
-24.7296,242.213,189.927
-24.5945,242.258,189.926
-24.4594,242.303,189.926
-24.3244,242.349,189.925
-24.1893,242.395,189.925
-24.0542,242.44,189.924
-23.9191,242.486,189.924
-23.784,242.532,189.923
-23.6489,242.578,189.923
-23.5138,242.624,189.922
-23.3787,242.67,189.922
-23.2436,242.716,189.921
-23.1085,242.762,189.921
-22.9734,242.809,189.92
-22.8383,242.855,189.92
-22.7031,242.901,189.919
-22.568,242.948,189.918
-22.4329,242.994,189.918
-22.2977,243.041,189.917
-22.1626,243.088,189.917
-22.0275,243.135,189.916
-21.8923,243.181,189.916
-21.7571,243.228,189.915
-21.622,243.275,189.915
-21.4868,243.322,189.914
-21.3516,243.369,189.914
-21.2165,243.417,189.913
-21.0813,243.464,189.913
-20.9461,243.511,189.912
-20.8109,243.559,189.911
-20.6757,243.606,189.911
-20.5405,243.654,189.91
-20.4052,243.701,189.91
-20.27,243.749,189.909
-20.1348,243.796,189.909
-19.9995,243.844,189.908
-19.8643,243.892,189.907
-19.729,243.94,189.907
-19.5938,243.988,189.906
-19.4585,244.036,189.906
-19.3232,244.084,189.905
-19.1879,244.132,189.904
-19.0526,244.18,189.904
-18.9173,244.229,189.903
-18.782,244.277,189.902
-18.6466,244.325,189.902
-18.5113,244.374,189.901
-18.3759,244.422,189.901
-18.2406,244.471,189.9
-18.1052,244.519,189.899
-17.9698,244.568,189.899
-17.8344,244.617,189.898
-17.699,244.665,189.897
-17.5636,244.714,189.897
-17.4282,244.763,189.896
-17.2927,244.812,189.895
-17.1573,244.861,189.895
-17.0218,244.91,189.894
-16.8863,244.959,189.893
-16.7508,245.008,189.893
-16.6153,245.057,189.892
-16.4798,245.107,189.891
-16.3443,245.156,189.89
-16.2087,245.205,189.89
-16.0731,245.255,189.889
-15.9376,245.304,189.888
-15.802,245.353,189.888
-15.6664,245.403,189.887
-15.5307,245.453,189.886
-15.3951,245.502,189.885
-15.2595,245.552,189.885
-15.1238,245.602,189.884
-14.9881,245.651,189.883
-14.8524,245.701,189.883
-14.7167,245.751,189.882
-14.581,245.801,189.881
-14.4452,245.851,189.88
-14.3095,245.901,189.88
-14.1737,245.951,189.879
-14.0379,246.001,189.878
-13.9021,246.051,189.877
-13.7662,246.101,189.877
-13.6304,246.151,189.876
-13.4945,246.201,189.875
-13.3586,246.252,189.874
-13.2227,246.302,189.874
-13.0868,246.352,189.873
-12.9509,246.403,189.872
-12.8149,246.453,189.871
-12.6789,246.503,189.87
-12.5429,246.554,189.87
-12.4069,246.604,189.869
-12.2709,246.655,189.868
-12.1349,246.706,189.867
-11.9988,246.756,189.866
-11.8627,246.807,189.866
-11.7266,246.857,189.865
-11.5905,246.908,189.864
-11.4543,246.959,189.863
