x,y,z
183.417,164.507,188.6
181.268,165.311,188.567
179.069,166.003,188.535
176.826,166.584,188.504
174.544,167.053,188.47
172.228,167.411,188.434
169.884,167.661,188.392
167.521,167.798,188.348
165.137,167.815,188.308
162.742,167.719,188.265
160.339,167.523,188.213
157.93,167.232,188.155
155.512,166.85,188.104
153.08,166.408,188.064
150.627,165.936,188.03
148.15,165.441,188.002
145.649,164.928,187.977
143.12,164.395,187.953
140.561,163.845,187.933
137.972,163.278,187.914
135.349,162.692,187.893
132.69,162.083,187.873
129.987,161.447,187.855
127.242,160.781,187.837
124.455,160.084,187.817
121.624,159.356,187.797
118.752,158.593,187.779
115.839,157.793,187.762
112.886,156.961,187.744
109.889,156.098,187.725
106.848,155.209,187.707
103.761,154.299,187.69
100.636,153.372,187.673
97.5265,152.446,187.655
94.4811,151.538,187.638
91.5093,150.652,187.625
88.6132,149.789,187.612
85.8076,148.953,187.6
83.1017,148.149,187.59
80.4951,147.379,187.585
77.9808,146.643,187.58
75.5516,145.946,187.58
73.1921,145.284,187.589
70.8864,144.652,187.607
68.6157,144.044,187.629
66.3604,143.462,187.646
64.125,142.934,187.651
61.9274,142.485,187.65
59.7755,142.131,187.647
57.6596,141.878,187.643
55.5545,141.725,187.638
53.4551,141.66,187.634
51.3617,141.657,187.632
49.275,141.698,187.632
47.2076,141.796,187.632
45.1876,141.974,187.631
43.2445,142.241,187.63
41.3842,142.599,187.627
39.6004,143.051,187.625
37.8838,143.606,187.621
36.2379,144.263,187.616
34.6679,145.021,187.613
33.1772,145.875,187.609
31.772,146.818,187.608
30.467,147.817,187.608
29.2747,148.817,187.611
28.181,149.798,187.617
27.157,150.786,187.623
26.2051,151.818,187.631
25.3377,152.902,187.637
24.5686,154.037,187.645
23.9076,155.217,187.652
23.3616,156.43,187.657
22.9322,157.646,187.661
22.6102,158.843,187.666
22.3824,160.021,187.668
22.2432,161.193,187.67
22.1953,162.361,187.67
22.2492,163.514,187.669
22.4102,164.644,187.667
22.6804,165.739,187.665
23.0588,166.79,187.662
23.5401,167.793,187.657
24.1164,168.749,187.654
24.7694,169.667,187.65
25.4839,170.558,187.646
26.248,171.43,187.643
27.0587,172.285,187.641
27.9149,173.124,187.639
28.8175,173.948,187.637
29.7692,174.748,187.637
30.7671,175.511,187.636
31.8175,176.237,187.636
32.9249,176.919,187.637
34.0879,177.539,187.637
35.3069,178.094,187.637
36.5776,178.595,187.636
37.8944,179.048,187.636
39.2537,179.465,187.635
40.6542,179.849,187.635
42.0981,180.203,187.634
43.5852,180.523,187.633
45.1163,180.809,187.632
46.6928,181.057,187.63
48.3147,181.266,187.627
